1000,0.0127
2000,0.0176
3000,0.0219
4000,0.0335
5000,0.0477
6000,0.0532
7000,0.0874
8000,0.0811
9000,0.1162
10000,0.1372
20000,0.6080
30000,1.1947
40000,2.5902
50000,4.2327
60000,12.2701
70000,8.9940
80000,8.5933
90000,12.2875
100000,18.0027
